student_id,age,gender,attendance_rate,study_hours_per_week,assignment_score,quiz_score,midterm_score,continuous_assessment,previous_gpa,final_exam_score
STU100058,27,Female,59.96,11.62,69.52,48.92,79.36,71.13,2.58,74.87
STU100059,26,Male,97.04,16.83,72.23,74.54,92.47,82.24,3.12,85.24
STU100060,29,Male,82.07,19.96,67.63,71.67,78.8,82.55,3.03,68.67
STU100061,27,Male,68.98,12.33,42.74,61.77,48.95,70.69,1.94,53.88
STU100062,22,Male,75.24,18.9,87.59,56.92,92.54,81.2,3.6,70.29
STU100063,30,Male,86.66,16.74,84.1,84.0,65.0,81.07,2.71,64.22
STU100064,23,Female,87.33,13.9,67.01,76.24,52.34,67.04,2.15,58.92
STU100065,22,Female,64.47,8.33,78.83,73.37,69.57,66.91,2.26,70.59
STU100066,29,Female,57.79,10.49,81.74,51.54,48.12,58.07,2.32,43.53
STU100067,22,Male,88.53,26.46,65.66,61.68,73.45,71.24,2.64,85.07
STU100068,18,Male,74.75,8.28,73.58,69.57,52.06,84.81,2.75,47.32
STU100069,24,Female,68.87,10.61,68.6,74.41,47.96,82.33,2.41,56.26
STU100070,28,Male,74.22,9.15,53.93,60.31,78.72,67.71,2.52,71.14
STU100071,20,Male,84.13,16.24,59.9,93.61,83.03,57.27,2.93,76.72
STU100072,24,Male,86.03,11.22,75.03,72.0,69.24,72.47,2.72,71.96
STU100073,19,Female,99.43,8.31,71.7,68.76,60.03,72.18,2.61,64.48
STU100074,26,Female,60.71,10.54,47.97,52.72,43.38,59.25,1.47,66.47
STU100075,24,Male,93.31,22.34,71.04,88.9,80.48,84.54,3.23,73.28
STU100076,22,Male,81.72,12.75,75.1,64.41,61.43,79.75,2.39,62.3
STU100077,20,Male,62.95,8.99,48.1,53.48,49.08,53.29,2.83,53.59
STU100078,25,Female,35.78,15.04,37.45,62.11,36.7,49.42,1.08,32.9
STU100079,26,Female,89.98,20.26,73.93,96.47,65.83,71.13,3.18,63.2
STU100080,30,Male,93.35,9.16,74.63,72.46,86.6,80.34,2.25,79.9
STU100081,23,Female,68.81,15.04,63.91,64.24,68.88,79.92,2.65,68.15
STU100082,20,Male,80.49,15.33,72.12,63.61,73.38,88.0,2.83,85.13
STU100083,28,Male,83.68,17.5,89.23,100.0,62.68,69.56,3.17,66.72
STU100084,24,Female,83.31,7.38,75.39,82.32,78.1,80.1,2.84,82.03
STU100085,27,Male,93.97,10.99,69.73,79.8,54.66,70.29,2.87,66.55
STU100086,19,Female,66.52,9.83,71.52,59.75,67.58,64.89,2.76,56.97
STU100087,22,Male,83.78,17.22,66.79,68.65,64.35,77.9,2.69,65.93
STU100088,27,Female,94.81,26.45,89.64,76.55,86.31,87.56,2.87,80.99
STU100089,28,Male,74.36,22.94,74.9,37.36,54.03,70.96,2.16,67.22
STU100090,23,Male,95.34,26.0,77.95,77.9,84.42,70.34,3.34,81.34
STU100091,28,Female,78.76,12.32,81.07,77.27,71.67,75.97,2.74,70.62
STU100092,28,Male,100.0,20.62,78.3,77.04,74.55,73.4,2.78,74.72
STU100093,23,Male,100.0,36.43,99.04,90.93,100.0,98.81,3.52,100.0
STU100094,29,Female,94.18,19.31,100.0,70.31,93.27,87.33,3.83,83.75
STU100095,21,Female,100.0,19.75,0.0,82.08,100.0,100.0,2.82,91.04
STU100096,21,Female,70.48,3.11,55.42,68.61,43.83,60.96,1.89,56.34
STU100097,26,Female,100.0,25.33,95.54,100.0,100.0,79.65,3.22,94.23
STU100098,26,Female,75.56,16.37,71.29,77.28,76.41,69.3,2.39,67.52
STU100099,19,Female,73.27,21.05,59.79,68.28,60.89,64.77,2.82,66.16
STU100100,28,Female,42.33,6.5,31.6,70.31,51.39,50.69,1.32,32.98
STU100101,20,Male,68.53,18.89,74.62,61.61,89.53,70.17,2.7,70.07
STU100102,28,Male,67.97,8.73,69.42,36.17,65.9,65.65,2.19,57.86
STU100103,18,Female,81.36,19.41,84.77,82.18,63.14,75.08,2.59,55.9
STU100104,28,Female,71.08,10.28,62.76,40.2,54.31,62.41,2.05,59.9
STU100105,28,Male,92.45,32.3,100.0,88.89,97.59,100.0,3.49,86.3
STU100106,28,Male,75.84,18.21,79.11,78.27,74.33,77.15,2.38,80.19
STU100107,26,Male,78.35,29.99,93.55,84.91,100.0,82.32,3.48,95.24
STU100108,24,Female,63.36,6.82,63.29,57.2,60.5,56.13,2.11,51.82
STU100109,27,Female,100.0,24.86,81.33,90.67,77.16,74.53,2.52,76.62
STU100110,21,Male,56.64,2.9,42.1,46.97,58.49,47.2,2.05,50.07
STU100111,28,Female,95.52,10.3,65.41,77.03,71.55,41.59,3.34,73.53
STU100112,25,Female,76.47,15.58,61.36,58.6,59.96,72.22,2.35,62.22
STU100113,23,Female,75.9,19.75,75.37,62.35,53.68,53.21,2.13,60.58
STU100114,24,Male,78.2,11.71,53.76,55.38,59.33,72.27,2.22,60.77
STU100115,25,Female,64.84,11.17,53.86,58.35,66.16,55.85,2.0,62.47
STU100116,18,Female,49.74,11.75,66.24,55.8,54.87,55.56,1.73,61.9
STU100117,19,Female,75.58,11.63,64.28,55.81,69.68,81.13,2.41,69.03
STU100118,21,Male,94.93,16.64,71.61,75.8,69.29,69.58,2.71,63.44
STU100119,19,Female,73.64,20.9,80.31,58.19,82.89,71.13,2.67,72.69
STU100120,23,Female,85.3,14.02,92.42,84.14,55.2,69.52,3.03,70.27
STU100121,26,Male,79.72,24.61,88.89,68.84,86.09,71.65,2.44,72.78
STU100122,26,Male,60.08,8.69,72.23,63.82,47.98,63.54,1.68,35.76
STU100123,24,Female,73.44,17.01,69.42,71.42,65.95,71.6,2.69,60.72
STU100124,29,Female,92.51,19.25,83.05,88.2,55.28,75.66,3.07,58.53
STU100125,25,Male,83.8,11.06,92.07,62.52,97.46,81.35,2.55,84.51
STU100126,19,Male,78.35,15.37,60.04,58.51,58.42,67.78,2.76,70.86
STU100127,27,Male,98.54,16.93,83.15,83.5,84.12,78.14,2.81,74.24
STU100128,25,Female,70.05,8.05,66.73,68.22,65.28,67.66,1.53,69.4
STU100129,26,Female,77.43,7.68,72.23,69.72,55.38,60.95,2.27,60.06
STU100130,25,Male,81.34,9.2,92.16,81.82,68.38,69.87,2.12,77.22
STU100131,24,Male,74.2,13.95,66.7,74.76,79.88,48.01,2.21,72.35
STU100132,19,Male,62.09,14.96,70.65,68.96,63.31,62.97,2.46,59.08
STU100133,25,Male,81.81,9.49,67.97,70.67,69.86,65.24,2.06,66.47
STU100134,28,Female,62.76,15.27,48.58,58.24,62.67,47.48,2.17,64.78
STU100135,21,Female,53.88,19.01,76.54,76.87,70.08,74.28,1.9,65.63
STU100136,25,Male,95.54,26.05,97.47,81.73,100.0,80.26,3.35,99.58
STU100137,18,Male,77.46,6.79,81.68,55.63,74.32,76.95,2.03,86.2
STU100138,22,Male,87.11,27.92,76.23,93.33,79.06,83.24,3.44,88.72
STU100139,23,Female,82.32,16.91,65.04,80.44,73.85,75.1,2.59,58.35
STU100140,30,Female,67.96,19.72,71.6,61.73,64.69,59.49,2.73,52.69
STU100141,20,Female,80.03,2.08,45.6,52.81,34.5,47.72,1.38,40.6
STU100142,21,Male,80.18,8.74,53.84,74.8,70.8,46.19,2.71,56.63
STU100143,23,Female,75.54,11.42,67.08,63.53,57.42,77.17,1.83,54.96
STU100144,30,Male,70.95,5.85,70.9,76.72,57.86,66.0,1.5,55.29
STU100145,29,Female,98.8,12.78,79.01,85.73,66.96,72.08,3.01,66.24
STU100146,18,Female,91.6,8.84,79.91,77.12,80.81,85.64,3.42,86.33
STU100147,21,Male,100.0,40.0,93.8,81.92,81.68,83.15,3.88,94.43
STU100148,28,Female,73.3,2.07,55.84,62.24,41.74,68.28,2.53,42.12
STU100149,18,Male,98.2,16.31,84.83,100.0,80.14,71.13,3.58,84.53
STU100150,29,Female,100.0,27.41,73.84,70.31,68.38,81.32,3.01,79.08
STU100151,21,Male,71.85,6.49,76.08,70.89,56.42,53.97,2.65,59.8
STU100152,29,Male,84.15,9.79,100.0,90.55,76.53,70.99,2.77,68.36
STU100153,21,Male,85.05,8.07,84.92,65.89,95.12,71.13,2.87,88.3
STU100154,23,Male,70.38,16.11,82.05,73.25,69.4,55.99,2.53,63.91
STU100155,26,Male,56.13,8.83,67.91,73.66,43.82,62.76,2.41,56.53
STU100156,19,Male,74.12,14.45,53.55,66.6,60.23,76.16,2.68,66.48
STU100157,25,Female,55.53,0.46,68.14,26.48,44.96,45.97,1.14,31.23
STU100158,24,Male,87.53,15.85,65.23,63.32,65.28,95.39,2.34,75.04
STU100159,28,Male,60.66,8.47,73.1,41.01,62.31,67.26,1.9,66.47
STU100160,30,Female,68.62,7.17,62.94,44.75,57.5,58.02,2.63,43.25
STU100161,26,Female,83.06,13.06,86.94,83.11,62.1,66.91,2.49,57.69
STU100162,23,Male,66.48,2.29,56.53,50.38,62.27,45.59,2.23,58.09
STU100163,23,Male,82.46,14.36,69.63,87.1,74.82,80.22,2.54,79.0
STU100164,23,Female,81.11,25.47,71.07,83.18,70.73,71.47,2.92,76.97
STU100165,28,Female,60.77,10.62,88.88,54.07,67.43,63.57,2.39,66.47
STU100166,22,Male,71.5,3.3,73.97,70.72,50.91,71.53,2.9,52.25
STU100167,20,Female,63.74,9.15,79.42,40.77,66.1,52.45,2.29,52.39
STU100168,22,Male,88.4,15.48,76.33,81.14,67.32,86.17,2.9,77.59
STU100169,18,Male,66.76,15.9,80.17,76.17,88.22,75.03,2.41,80.21
STU100170,19,Female,77.05,15.22,63.06,70.6,82.4,68.09,3.2,69.96
STU100171,19,Female,85.31,25.46,77.55,58.97,64.18,71.13,2.53,79.86
STU100172,28,Female,81.56,9.23,85.53,48.0,63.57,43.74,1.39,61.87
STU100173,27,Male,53.01,9.97,49.36,78.32,68.38,58.74,1.09,44.73
STU100174,27,Male,93.41,24.3,75.71,87.09,68.9,84.1,2.41,71.43
STU100175,24,Male,81.77,12.3,86.34,74.79,51.29,59.24,3.05,67.41
STU100176,27,Male,68.01,12.73,67.52,73.55,67.76,48.64,3.01,58.03
STU100177,20,Male,75.89,13.66,93.11,89.17,68.3,72.11,1.99,46.72
STU100178,29,Female,84.74,16.5,82.52,96.05,91.06,77.86,2.86,66.47
STU100179,24,Female,87.87,15.81,84.14,80.73,84.06,81.92,3.1,87.32
STU100180,30,Female,79.61,15.72,69.24,60.48,49.08,65.78,2.76,62.01
STU100181,19,Male,54.1,19.28,47.2,61.36,58.32,69.58,1.48,64.56
STU100182,24,Male,54.91,3.07,46.65,52.67,56.9,54.03,2.05,59.85
STU100183,27,Female,75.93,14.21,56.34,78.52,59.42,71.13,2.26,70.69
STU100184,24,Male,95.59,25.33,57.24,87.6,95.69,81.69,4.0,66.47
STU100185,23,Female,68.71,7.98,63.72,69.69,56.32,66.9,2.19,59.82
STU100186,20,Male,72.88,18.46,54.32,73.83,52.98,71.13,2.33,57.36
STU100187,22,Female,62.52,22.28,60.91,50.15,58.62,52.82,2.22,64.4
STU100188,21,Female,64.43,8.82,75.59,65.34,57.65,59.79,2.52,50.19
STU100189,21,Female,85.76,23.6,63.62,81.6,53.27,74.46,2.83,59.94
STU100190,26,Female,61.47,4.59,65.03,47.47,25.89,47.29,1.45,21.68
STU100191,26,Female,95.78,16.65,68.87,76.7,97.73,82.71,2.34,86.73
STU100192,25,Male,86.05,13.43,64.46,80.5,77.66,72.42,2.38,83.29
STU100193,22,Female,100.0,34.22,100.0,100.0,100.0,99.32,4.0,93.51
STU100194,30,Female,52.96,7.44,55.97,21.44,62.5,71.13,1.71,41.97
STU100195,19,Female,96.15,28.23,99.94,99.92,83.39,100.0,3.36,84.93
STU100196,22,Male,100.0,24.48,100.0,62.49,83.37,73.78,2.77,81.79
STU100197,24,Male,77.24,19.29,64.18,64.9,56.96,63.42,2.67,60.33
STU100198,22,Female,74.73,15.28,62.02,51.76,68.63,66.4,2.53,56.34
STU100199,30,Female,53.83,17.12,43.08,54.12,61.41,56.88,2.05,63.1
STU100200,22,Male,62.15,5.25,65.17,60.68,53.29,71.96,2.1,57.77
STU100201,29,Male,78.55,13.98,75.4,75.29,72.36,82.09,2.01,82.84
STU100202,24,Male,66.84,15.12,79.01,84.38,79.71,91.12,2.04,81.43
STU100203,27,Male,65.12,1.12,68.11,38.53,48.35,53.22,1.66,42.55
STU100204,23,Male,100.0,23.73,86.12,100.0,84.31,83.92,3.83,89.45
STU100205,21,Male,59.05,15.35,86.01,64.14,69.22,66.02,2.57,69.99
STU100206,27,Male,78.35,18.72,70.14,68.17,56.57,62.88,2.41,69.95
STU100207,30,Female,68.19,11.81,68.83,79.94,52.22,71.95,2.45,50.43
STU100208,24,Male,73.76,15.04,68.73,75.5,100.0,75.05,2.86,61.21
STU100209,28,Male,85.06,7.34,61.44,49.2,69.85,74.25,2.29,65.86
STU100210,21,Male,82.59,13.03,61.21,69.21,68.94,89.73,2.61,70.16
STU100211,27,Male,66.9,9.01,73.51,62.12,57.46,70.69,2.42,57.62
STU100212,28,Female,75.74,20.53,71.44,74.57,100.0,73.27,2.86,83.82
STU100213,23,Female,78.59,18.8,72.36,71.26,65.58,72.89,2.67,48.4
STU100214,27,Male,87.46,25.93,75.63,82.68,81.3,69.55,3.45,71.25
STU100215,21,Male,85.82,9.05,68.64,57.34,62.04,64.64,2.82,65.24
STU100216,19,Male,94.61,18.25,58.38,70.59,61.64,73.64,2.9,68.04
STU100217,19,Male,89.38,20.73,41.32,63.64,65.86,73.22,2.22,79.45
STU100218,23,Male,86.5,16.01,89.71,85.0,75.74,73.6,2.69,72.5
STU100219,29,Male,78.35,10.75,85.43,73.09,72.9,62.43,2.8,60.63
STU100220,19,Male,79.51,6.68,47.24,77.52,59.42,75.67,2.86,59.93
STU100221,23,Female,67.02,16.99,73.78,70.41,66.99,61.08,3.01,73.49
STU100222,27,Male,61.59,10.72,72.59,74.55,58.91,70.93,1.59,53.65
STU100223,20,Male,79.52,17.57,60.45,72.73,79.19,81.61,3.37,62.59
STU100224,27,Male,65.36,13.58,79.34,57.7,70.12,77.5,2.62,73.04
STU100225,21,Male,64.48,20.65,76.58,60.03,59.97,70.62,2.54,70.6
STU100226,28,Male,81.7,23.53,89.37,71.91,77.2,88.59,2.27,75.72
STU100227,25,Male,89.69,15.95,96.15,86.86,74.33,81.54,2.83,68.92
STU100228,25,Male,100.0,24.19,99.27,98.57,91.03,79.26,3.68,94.18
STU100229,20,Male,70.86,15.32,72.23,62.46,75.65,86.98,1.79,54.69
STU100230,24,Female,81.69,13.66,78.84,78.81,70.31,81.64,1.82,73.36
STU100231,29,Female,38.54,9.46,55.79,32.62,46.11,55.56,1.66,45.44
STU100232,18,Male,91.62,18.72,94.19,75.45,70.51,81.06,2.9,78.44
STU100233,27,Male,60.75,10.31,54.88,28.66,25.41,71.13,2.28,26.75
STU100234,24,Female,61.79,8.11,56.15,66.95,62.0,52.95,1.95,66.47
STU100235,27,Female,91.32,14.37,60.59,96.1,82.93,89.2,2.64,86.24
STU100236,26,Male,61.02,7.83,73.31,57.5,64.57,47.09,2.43,61.88
STU100237,23,Male,63.42,19.11,66.19,63.83,82.13,62.21,2.48,51.52
STU100238,22,Male,70.22,10.62,59.18,68.67,58.41,68.38,2.01,65.37
STU100239,26,Female,82.26,34.78,86.61,67.04,68.18,75.49,3.2,81.05
STU100240,19,Male,71.21,10.16,59.44,58.26,68.48,79.68,1.85,67.02
STU100241,25,Male,81.06,10.42,59.5,74.04,79.77,56.55,2.48,68.45
STU100242,19,Male,81.86,4.8,80.07,67.4,74.32,60.52,2.55,74.55
STU100243,26,Male,91.86,26.08,61.99,79.97,67.39,71.13,3.21,76.06
STU100244,26,Male,87.25,19.12,81.96,76.55,71.37,83.21,3.04,62.41
STU100245,19,Female,53.26,8.1,52.23,41.23,29.13,53.1,1.2,28.5
STU100246,27,Female,94.18,32.88,68.2,88.76,100.0,84.36,2.37,96.89
STU100247,23,Male,69.15,14.68,68.71,70.31,51.35,59.01,2.13,48.72
STU100248,28,Male,81.21,18.1,68.21,52.64,58.86,70.37,2.96,66.85
STU100249,18,Female,70.81,15.5,77.68,38.06,55.61,52.06,2.19,44.09
STU100250,20,Male,83.56,21.25,84.92,62.11,73.8,78.45,2.77,77.74
STU100251,24,Male,100.0,23.99,99.93,94.08,100.0,81.59,3.77,97.24
STU100252,20,Male,73.2,22.43,50.91,68.84,68.29,71.13,2.67,81.03
STU100253,22,Female,83.28,12.01,62.42,66.23,55.7,74.29,1.92,65.24
STU100254,26,Female,66.36,21.31,63.94,68.13,61.22,63.3,2.52,70.03
STU100255,19,Female,63.89,8.72,67.92,52.17,44.06,77.71,2.06,38.05
STU100256,26,Female,91.5,29.65,88.5,99.07,99.74,81.71,3.1,66.47
STU100257,19,Male,78.35,15.75,78.15,64.35,71.86,70.15,2.81,86.23
STU100258,20,Male,72.48,1.12,70.37,67.23,61.46,72.05,1.37,64.18
STU100259,25,Male,65.79,11.72,76.31,78.46,53.5,69.43,2.05,55.8
STU100260,28,Female,90.62,19.98,85.52,55.7,50.16,69.62,2.46,69.49
STU100261,20,Female,87.68,17.81,86.4,60.92,95.78,79.65,3.41,78.41
STU100262,21,Male,71.24,7.08,57.83,58.98,59.78,68.31,1.85,61.02
STU100263,30,Female,85.55,10.61,87.07,88.74,85.26,83.97,3.36,85.76
STU100264,30,Male,80.14,13.67,70.79,69.36,45.7,67.07,2.32,49.69
STU100265,25,Male,59.38,3.17,69.34,38.08,55.02,59.6,1.23,40.28
STU100266,23,Male,72.54,14.78,62.14,47.92,77.74,84.0,2.19,80.06
STU100267,22,Female,98.57,27.17,98.08,84.61,100.0,86.13,3.44,92.78
STU100268,25,Female,68.37,6.75,58.28,58.63,48.91,54.02,1.86,52.67
STU100269,25,Male,63.85,17.22,68.02,58.26,71.27,63.17,2.19,59.03
STU100270,21,Female,78.35,21.92,71.15,83.0,95.52,81.46,2.8,79.49
STU100271,18,Female,69.54,17.27,71.63,74.17,68.98,66.43,2.49,64.52
STU100272,19,Female,70.37,11.86,67.96,70.46,71.54,77.31,1.71,64.23
STU100273,30,Female,91.88,17.87,80.23,69.23,92.53,77.58,2.28,86.95
STU100274,23,Male,94.45,26.03,61.39,82.41,88.93,86.04,2.97,85.66
STU100275,24,Female,77.85,12.41,64.16,87.99,81.29,89.08,2.4,69.12
STU100276,24,Female,72.59,13.44,68.86,55.27,68.38,61.82,2.57,45.79
STU100277,28,Female,67.98,18.34,80.89,58.62,70.28,70.01,1.51,70.38
STU100278,18,Male,78.35,11.58,72.93,74.17,70.33,71.13,2.74,76.96
STU100279,19,Female,57.18,0.42,53.98,44.49,42.71,0.0,2.59,45.16
STU100280,21,Female,92.75,17.75,94.98,73.19,99.37,85.88,3.1,83.29
STU100281,24,Male,93.1,34.29,89.61,85.74,87.73,85.05,3.35,87.4
STU100282,26,Female,68.77,10.54,76.14,64.77,67.32,75.38,2.53,67.31
STU100283,24,Male,71.06,11.13,72.75,81.28,73.53,69.94,2.85,72.45
STU100284,23,Male,78.35,23.95,80.6,74.47,67.06,81.07,2.95,80.43
STU100285,30,Male,96.08,13.11,99.15,92.01,88.7,85.3,3.12,91.59
STU100286,20,Female,90.31,19.57,93.85,99.7,94.65,96.97,3.51,97.74
STU100287,25,Female,49.47,11.66,51.34,62.24,46.9,51.63,0.96,36.22
STU100288,25,Male,76.65,8.33,58.6,65.3,60.56,62.07,2.63,65.18
STU100289,24,Female,84.18,16.7,62.09,77.5,77.45,68.45,2.61,73.92
STU100290,28,Male,72.28,13.51,53.12,55.41,72.71,56.33,2.25,53.27
STU100291,21,Male,93.3,27.17,72.23,92.89,73.44,95.58,3.21,76.16
STU100292,30,Female,100.0,22.11,91.54,100.0,86.9,87.11,3.82,91.21
STU100293,22,Female,62.91,12.84,48.63,73.79,58.18,89.24,2.18,53.55
STU100294,25,Female,76.61,21.26,56.06,68.08,83.83,64.69,2.31,66.4
STU100295,24,Female,67.89,5.19,72.23,64.92,70.78,49.38,2.0,60.2
STU100296,29,Female,62.15,11.41,83.91,60.24,51.6,67.0,2.35,49.59
STU100297,23,Male,91.53,13.12,72.23,58.36,78.83,71.13,3.23,86.28
STU100298,21,Male,94.05,24.22,65.32,77.21,78.3,84.17,2.52,81.97
STU100299,18,Male,68.78,9.83,66.44,62.73,41.04,61.29,2.43,36.98
STU100300,24,Female,49.3,0.0,53.83,47.83,22.56,39.54,1.39,18.23
STU100301,28,Female,75.16,0.0,51.21,51.27,62.11,51.83,2.24,63.69
STU100302,18,Female,74.76,3.16,59.35,62.85,59.97,71.33,2.21,64.56
STU100303,29,Male,72.92,12.03,68.33,37.16,50.19,56.86,2.17,33.61
STU100304,25,Male,74.58,13.55,78.2,73.7,86.01,73.12,2.95,86.32
STU100305,19,Female,60.64,6.81,64.24,51.57,61.79,61.21,2.04,57.23
STU100306,21,Female,78.35,7.42,65.92,43.68,50.42,58.53,2.16,51.24
STU100307,25,Male,63.9,21.13,64.57,64.24,59.76,58.88,2.52,54.7
STU100308,22,Female,69.91,5.82,54.96,71.95,45.59,46.56,1.97,53.61
STU100309,19,Male,76.42,18.61,62.48,63.8,81.38,0.0,2.07,72.83
STU100310,26,Male,75.76,17.99,59.04,72.25,48.99,62.61,1.98,51.14
STU100311,26,Male,82.15,23.15,74.93,73.59,63.57,89.19,3.0,52.13
STU100312,19,Male,70.53,4.83,66.9,79.38,57.81,59.33,1.7,49.55
STU100313,21,Female,80.3,13.54,61.47,50.31,92.52,66.97,2.2,64.51
STU100314,21,Male,53.64,9.78,75.79,62.6,47.01,66.59,1.89,44.21
STU100315,26,Male,90.14,29.93,71.59,86.81,86.26,83.77,3.08,76.94
STU100316,27,Male,92.8,16.13,72.49,68.2,67.05,53.48,2.16,69.71
STU100317,27,Female,88.28,20.24,90.25,95.54,84.82,84.54,2.57,91.15
STU100318,30,Male,44.0,17.01,64.12,36.2,65.2,43.83,1.54,50.88
STU100319,27,Male,70.91,12.94,54.76,68.22,60.43,67.07,2.28,52.93
STU100320,22,Male,56.57,14.3,67.16,60.89,58.23,70.74,2.04,56.43
STU100321,19,Female,58.21,11.16,52.79,55.1,46.08,77.05,1.97,50.02
STU100322,25,Female,67.4,16.33,59.31,53.32,81.1,61.28,2.41,77.93
STU100323,29,Male,100.0,24.87,91.77,86.59,100.0,81.29,3.5,91.15
STU100324,30,Male,73.99,14.07,52.16,57.18,46.46,47.25,2.23,60.31
STU100325,20,Male,79.21,11.09,72.88,70.98,70.23,63.16,2.7,57.5
STU100326,21,Female,72.06,12.7,71.87,66.44,62.63,78.39,1.18,60.59
STU100327,18,Female,55.97,4.84,59.68,54.62,34.14,41.66,1.38,25.73
STU100328,19,Male,69.14,16.97,61.95,65.44,72.36,35.06,2.3,66.47
STU100329,25,Male,90.16,17.53,66.25,77.82,62.14,74.63,2.35,69.06
