student_id,attendance_risk_component,assessment_performance_risk,trend_risk,gpa_risk,study_behavior_risk,recent_performance_risk,risk_score,risk_level
STU100096,29.52,42.79,62.02,52.75,92.22,39.04,50.04,MODERATE
STU100097,0.0,6.2,59.94,19.5,36.68,20.35,22.17,LOW
STU100098,24.44,26.43,51.79,40.25,59.08,30.7,36.87,MODERATE
STU100099,26.73,36.57,51.5,29.5,47.38,35.23,37.47,MODERATE
STU100100,57.67,49.0,49.89,67.0,83.75,49.31,57.12,MODERATE
STU100101,31.47,26.02,35.34,32.5,52.77,29.83,33.0,MODERATE
STU100102,32.03,40.72,33.78,45.25,78.18,34.35,41.38,MODERATE
STU100103,18.64,23.71,67.95,35.25,51.48,24.92,36.17,MODERATE
STU100104,28.92,45.08,41.4,48.75,74.3,37.59,43.84,MODERATE
STU100105,7.55,3.38,44.56,12.75,19.25,0.0,15.1,LOW
STU100106,24.16,22.78,53.69,40.5,54.47,22.85,35.07,MODERATE
STU100107,21.65,9.8,47.59,13.0,25.02,17.68,22.52,LOW
STU100108,36.64,40.72,52.41,47.25,82.95,43.87,47.76,MODERATE
STU100109,0.0,19.08,62.7,37.0,37.85,25.47,29.19,LOW
STU100110,43.36,51.31,39.61,48.75,92.75,52.8,51.29,MODERATE
STU100111,4.48,36.1,68.31,16.5,74.25,58.41,39.32,MODERATE
STU100112,23.53,36.96,42.36,41.25,61.05,27.78,37.49,MODERATE
STU100113,24.1,38.85,69.27,46.75,50.62,46.79,45.14,MODERATE
STU100114,21.8,39.82,35.96,44.5,70.72,27.73,38.03,MODERATE
STU100115,35.16,41.44,43.88,50.0,72.08,44.15,45.29,MODERATE
STU100116,50.26,41.88,57.25,56.75,70.62,44.44,51.99,MODERATE
STU100117,24.42,32.28,30.8,39.75,70.92,18.87,34.06,MODERATE
STU100118,5.07,28.43,55.34,32.25,58.4,30.42,32.91,MODERATE
STU100119,26.36,26.87,40.3,33.25,47.75,28.87,32.7,MODERATE
STU100120,14.7,24.68,82.4,24.25,64.95,30.48,38.77,MODERATE
STU100121,20.28,21.13,50.0,39.0,38.48,28.35,31.87,MODERATE
STU100122,39.92,38.11,65.34,58.0,78.28,36.46,50.75,MODERATE
STU100123,26.56,30.4,52.05,32.75,57.48,28.4,36.82,MODERATE
STU100124,7.49,24.45,75.2,23.25,51.88,24.34,33.76,MODERATE
STU100125,16.2,16.65,34.86,36.25,72.35,18.65,28.91,LOW
STU100126,21.65,38.81,45.21,31.0,61.58,32.22,37.1,MODERATE
STU100127,1.46,17.77,52.75,29.75,57.68,21.86,27.7,LOW
STU100128,29.95,33.03,51.25,61.75,79.88,32.34,44.98,MODERATE
STU100129,22.57,35.43,66.01,43.25,80.8,39.05,45.05,MODERATE
STU100130,18.66,21.94,72.32,47.0,77.0,30.13,41.44,MODERATE
STU100131,25.8,32.66,58.49,44.75,65.12,51.99,43.45,MODERATE
STU100132,37.91,33.53,58.34,38.5,62.6,37.03,43.37,MODERATE
STU100133,18.19,31.56,52.21,48.5,76.27,34.76,40.35,MODERATE
STU100134,37.24,45.76,47.91,45.75,61.82,52.52,46.77,MODERATE
STU100135,46.12,25.56,55.66,52.5,52.47,25.72,42.44,MODERATE
STU100136,4.46,10.14,49.34,16.25,34.88,19.74,21.19,LOW
STU100137,22.54,27.86,41.27,49.25,83.02,23.05,37.72,MODERATE
STU100138,12.89,17.04,54.54,14.0,30.2,16.76,24.54,LOW
STU100139,17.68,26.39,47.84,35.25,57.72,24.9,33.25,MODERATE
STU100140,32.04,35.62,55.71,31.75,50.7,40.51,40.34,MODERATE
STU100141,19.97,54.84,60.11,65.5,94.8,52.28,54.26,MODERATE
STU100142,19.82,38.59,57.28,32.25,78.15,53.81,43.1,MODERATE
STU100143,24.46,33.7,47.51,54.25,71.45,22.83,40.38,MODERATE
STU100144,29.05,32.13,64.85,62.5,85.38,34.0,48.13,MODERATE
STU100145,1.2,24.06,66.06,24.75,68.05,27.92,32.78,MODERATE
STU100146,8.4,19.13,44.11,14.5,77.9,14.36,26.69,LOW
STU100147,0.0,14.86,56.8,3.0,0.0,16.85,17.21,LOW
STU100148,26.7,42.97,55.04,36.75,94.82,31.72,45.26,MODERATE
STU100149,1.8,15.98,70.97,10.5,59.23,28.87,28.93,LOW
STU100150,0.0,26.54,46.54,24.75,31.48,18.68,24.67,LOW
STU100151,28.15,35.66,72.86,33.75,83.78,46.03,47.16,MODERATE
STU100152,15.85,15.48,76.9,30.75,75.52,29.01,37.49,MODERATE
STU100153,14.95,20.74,40.35,28.25,79.82,28.87,31.35,MODERATE
STU100154,29.62,29.83,68.69,36.75,59.73,44.01,43.01,MODERATE
STU100155,43.87,37.96,71.86,39.75,77.92,37.24,50.11,MODERATE
STU100156,25.88,35.87,39.85,33.0,63.88,23.84,35.84,MODERATE
STU100157,44.47,53.61,52.3,71.5,98.85,54.03,58.77,MODERATE
STU100158,12.47,27.69,29.92,41.5,60.38,4.61,28.12,LOW
STU100159,39.34,39.08,40.34,52.5,78.82,32.74,44.74,MODERATE
STU100160,31.38,44.2,45.1,34.25,82.08,41.98,43.89,MODERATE
STU100161,16.94,25.24,75.65,37.75,67.35,33.09,40.53,MODERATE
STU100162,33.52,46.31,49.4,44.25,94.28,54.41,49.67,MODERATE
STU100163,17.54,22.06,51.05,36.5,64.1,19.78,33.1,MODERATE
STU100164,18.89,25.89,57.54,27.0,36.33,28.53,32.29,MODERATE
STU100165,39.23,31.51,57.46,40.25,73.45,36.43,44.24,MODERATE
STU100166,28.5,33.22,63.9,27.5,91.75,28.47,42.93,MODERATE
STU100167,36.26,40.32,51.02,42.75,77.12,47.55,46.42,MODERATE
STU100168,11.6,22.26,52.49,27.5,61.3,13.83,30.02,MODERATE
STU100169,33.24,20.1,45.69,39.75,60.25,24.97,35.3,MODERATE
STU100170,22.95,28.96,39.48,20.0,61.95,31.91,32.11,MODERATE
STU100171,14.69,32.04,50.75,36.75,36.35,28.87,33.13,MODERATE
STU100172,18.44,39.79,66.39,65.25,76.92,56.26,50.02,MODERATE
STU100173,46.99,36.3,50.35,72.75,75.08,41.26,51.09,MODERATE
STU100174,6.59,21.05,56.12,39.75,39.25,15.9,29.28,LOW
STU100175,18.23,32.09,81.62,23.75,69.25,40.76,42.56,MODERATE
STU100176,31.99,35.63,65.41,24.75,68.18,51.36,44.05,MODERATE
STU100177,24.11,19.33,76.18,50.25,65.85,27.89,41.8,MODERATE
STU100178,15.26,13.13,56.03,28.5,58.75,22.14,29.9,LOW
STU100179,12.13,17.29,49.3,22.5,60.47,18.08,27.84,LOW
STU100180,20.39,38.86,59.29,31.0,60.7,34.22,39.79,MODERATE
STU100181,45.9,40.89,37.91,63.0,51.8,30.42,44.66,MODERATE
STU100182,45.09,47.44,42.74,48.75,92.32,45.97,50.57,MODERATE
STU100183,24.07,33.65,52.7,43.5,64.47,28.87,39.63,MODERATE
STU100184,4.41,19.44,29.66,0.0,36.68,18.31,17.17,LOW
STU100185,31.29,35.84,56.36,45.25,80.05,33.1,44.59,MODERATE
STU100186,27.12,36.94,52.52,41.75,53.85,28.87,39.7,MODERATE
STU100187,37.48,44.38,49.76,44.5,44.3,47.18,44.37,MODERATE
STU100188,35.57,35.41,64.69,37.0,77.95,40.21,46.27,MODERATE
STU100189,14.24,31.76,60.94,29.25,41.0,25.54,34.02,MODERATE
STU100190,38.53,53.58,74.57,63.75,88.52,52.71,59.7,LOW
STU100191,4.22,18.5,28.2,41.5,58.38,17.29,24.9,LOW
STU100192,13.95,26.24,46.8,40.5,66.42,27.58,34.18,MODERATE
STU100193,0.0,0.17,50.43,0.0,14.45,0.68,11.64,LOW
STU100194,47.04,47.24,14.86,57.25,81.4,28.87,43.8,MODERATE
STU100195,3.85,4.19,60.3,16.0,29.42,0.0,19.22,LOW
STU100196,0.0,20.09,53.34,30.75,38.8,26.22,26.8,LOW
STU100197,22.76,37.63,55.44,33.25,51.78,36.58,38.87,MODERATE
STU100198,25.27,37.8,36.72,36.75,61.8,33.6,36.9,MODERATE
STU100199,46.17,46.13,36.81,48.75,57.2,43.12,45.47,MODERATE
STU100200,37.85,37.23,50.37,47.5,86.88,28.04,45.57,MODERATE
STU100201,21.45,23.72,47.65,49.75,65.05,17.91,35.51,MODERATE
STU100202,33.16,16.44,45.35,49.0,62.2,8.88,34.27,MODERATE
STU100203,34.88,47.95,53.18,58.5,97.2,46.78,52.77,MODERATE
STU100204,0.0,11.41,61.18,4.25,40.67,16.08,21.4,LOW
STU100205,40.95,28.65,59.31,35.75,61.62,33.98,42.14,MODERATE
STU100206,21.65,35.56,61.79,39.75,53.2,37.12,40.57,MODERATE
STU100207,31.81,31.76,65.38,38.75,70.47,28.05,43.04,MODERATE
STU100208,26.24,20.18,30.74,28.5,62.4,24.95,29.45,LOW
STU100209,14.94,36.32,29.09,42.75,81.65,25.75,35.04,MODERATE
STU100210,17.41,27.73,32.34,34.75,67.42,10.27,29.86,LOW
STU100211,33.1,34.06,54.68,39.5,77.48,29.31,42.68,MODERATE
STU100212,24.26,20.18,32.96,28.5,48.68,26.73,28.3,LOW
STU100213,21.41,29.48,53.22,33.25,53.0,27.11,35.29,MODERATE
STU100214,12.54,22.71,54.66,13.75,35.17,30.45,27.74,LOW
STU100215,14.18,36.83,49.56,29.5,77.38,35.36,37.65,MODERATE
STU100216,5.39,33.94,46.05,27.5,54.37,26.36,30.97,MODERATE
STU100217,10.62,38.99,28.68,44.5,48.18,26.78,31.78,MODERATE
STU100218,13.5,18.99,65.86,32.75,59.98,26.4,34.17,MODERATE
STU100219,21.65,26.54,64.5,30.0,73.12,37.57,39.43,MODERATE
STU100220,20.49,35.04,43.54,28.5,83.3,24.33,36.6,MODERATE
STU100221,32.98,31.94,60.08,24.75,57.53,38.92,39.95,MODERATE
STU100222,38.41,30.76,60.81,60.25,73.2,29.07,46.8,MODERATE
STU100223,20.48,26.5,32.74,15.75,56.08,18.39,27.08,LOW
STU100224,34.64,28.83,43.39,34.5,66.05,22.5,36.84,MODERATE
STU100225,35.52,33.2,53.76,36.5,48.38,29.38,39.41,MODERATE
STU100226,18.3,18.23,47.18,43.25,41.18,11.41,29.4,LOW
STU100227,10.31,15.28,66.96,29.25,60.13,18.46,31.52,MODERATE
STU100228,0.0,7.97,67.21,8.0,39.52,20.74,22.66,LOW
STU100229,29.14,25.67,32.54,55.25,61.7,13.02,34.51,MODERATE
STU100230,18.31,22.6,53.56,54.5,65.85,18.36,36.62,MODERATE
STU100231,61.46,52.48,41.71,58.5,76.35,44.44,54.61,MODERATE
STU100232,8.38,19.7,61.29,27.5,53.2,18.94,30.2,MODERATE
STU100233,39.25,54.98,41.88,43.0,74.22,28.87,46.73,MODERATE
STU100234,38.21,40.49,55.09,51.25,79.72,47.05,49.15,MODERATE
STU100235,8.68,17.8,40.35,34.0,64.08,10.8,26.84,LOW
STU100236,38.98,39.38,61.98,39.25,80.42,52.91,49.26,MODERATE
STU100237,36.58,31.41,41.05,38.0,52.22,37.79,38.08,MODERATE
STU100238,29.78,36.34,50.66,49.75,73.45,31.62,43.14,MODERATE
STU100239,17.74,25.67,56.24,20.0,13.05,24.51,27.97,LOW
STU100240,28.79,33.54,30.96,53.75,74.6,20.32,37.89,MODERATE
STU100241,18.94,32.54,48.26,38.0,73.95,43.45,39.02,MODERATE
STU100242,18.14,29.42,57.89,36.25,88.0,39.48,40.75,MODERATE
STU100243,8.14,29.88,52.15,19.75,34.8,28.87,28.86,LOW
STU100244,12.75,21.73,52.46,24.0,52.2,16.79,28.97,LOW
STU100245,46.74,56.08,57.01,70.0,79.75,46.9,57.94,MODERATE
STU100246,5.82,14.67,32.88,40.75,17.8,15.64,20.86,LOW
STU100247,30.85,37.66,67.91,46.75,63.3,40.99,46.61,MODERATE
STU100248,18.79,37.48,44.76,26.0,54.75,29.63,34.42,MODERATE
STU100249,29.19,44.15,55.05,45.25,61.25,47.94,45.59,MODERATE
STU100250,16.44,25.18,46.74,30.75,46.88,21.55,30.39,MODERATE
STU100251,0.0,6.1,57.76,5.75,40.03,18.41,19.78,LOW
STU100252,26.8,35.21,37.7,33.25,43.92,28.87,33.97,MODERATE
STU100253,16.72,35.34,49.16,52.0,69.98,25.71,39.38,MODERATE
STU100254,33.64,35.85,54.71,37.0,46.73,36.7,40.53,MODERATE
STU100255,36.11,39.54,48.95,48.5,78.2,22.29,44.22,MODERATE
STU100256,8.5,7.74,53.82,22.5,25.88,18.29,22.19,LOW
STU100257,21.65,28.87,50.31,29.75,60.62,29.85,35.12,MODERATE
STU100258,27.52,32.22,52.56,65.75,97.2,27.95,46.45,MODERATE
STU100259,34.21,30.58,69.9,48.75,70.7,30.57,45.91,MODERATE
STU100260,9.38,34.75,63.4,38.5,50.05,30.38,37.06,MODERATE
STU100261,12.32,19.31,32.42,14.75,55.48,20.35,23.57,LOW
STU100262,28.76,38.78,42.95,53.75,82.3,31.69,43.5,MODERATE
STU100263,14.45,13.74,54.11,16.0,73.47,16.03,28.5,LOW
STU100264,19.86,36.77,67.11,42.0,65.82,32.93,42.76,MODERATE
STU100265,40.62,44.49,45.5,69.25,92.07,40.4,51.98,MODERATE
STU100266,27.46,32.05,17.7,45.25,63.05,16.0,31.74,MODERATE
STU100267,1.43,7.8,47.85,14.0,32.07,13.87,18.5,LOW
STU100268,31.63,45.04,58.74,53.5,83.12,45.98,50.27,MODERATE
STU100269,36.15,34.82,44.9,45.25,56.95,36.83,41.08,MODERATE
STU100270,21.65,17.22,35.74,30.0,45.2,18.54,26.66,LOW
STU100271,30.46,29.7,56.49,37.75,56.82,33.57,39.52,MODERATE
STU100272,29.63,28.18,43.48,57.25,70.35,22.69,39.56,MODERATE
STU100273,8.12,20.11,37.09,43.0,55.32,22.42,28.29,LOW
STU100274,5.55,20.31,30.51,25.75,34.92,13.96,21.04,LOW
STU100275,22.15,19.37,38.61,40.0,68.97,10.92,30.98,MODERATE
STU100276,27.41,36.42,46.21,35.75,66.4,38.18,39.65,MODERATE
STU100277,32.02,30.05,49.51,62.25,54.15,29.99,41.57,MODERATE
STU100278,21.65,27.86,53.52,31.5,71.05,28.87,36.72,MODERATE
STU100279,42.82,64.7,84.85,35.25,98.95,100.0,66.89,HIGH
STU100280,7.25,11.64,39.32,22.5,55.62,14.12,22.57,LOW
STU100281,6.9,12.97,51.6,16.25,14.28,14.95,20.3,LOW
STU100282,31.23,29.1,48.89,36.75,73.65,24.62,38.64,MODERATE
STU100283,28.94,25.62,56.6,28.75,72.17,30.06,38.05,MODERATE
STU100284,21.65,24.2,54.34,26.25,40.12,18.93,31.09,MODERATE
STU100285,3.92,8.71,60.72,22.0,67.22,14.7,26.6,LOW
STU100286,9.69,3.71,51.21,12.25,51.08,3.03,20.36,LOW
STU100287,50.53,46.97,59.41,76.0,70.85,48.37,57.05,MODERATE
STU100288,23.35,38.37,50.8,34.25,79.18,37.93,41.27,MODERATE
STU100289,15.82,28.63,46.05,34.75,58.25,31.55,33.72,MODERATE
STU100290,27.72,40.61,37.19,43.75,66.22,43.67,40.69,MODERATE
STU100291,6.7,16.46,47.56,19.75,32.07,4.42,21.58,LOW
STU100292,0.0,8.61,60.96,4.5,44.72,12.89,20.78,LOW
STU100293,37.09,32.54,34.38,45.5,67.9,10.76,37.12,MODERATE
STU100294,23.39,31.84,34.76,42.25,46.85,35.31,34.14,MODERATE
STU100295,32.11,35.67,60.62,50.0,87.02,50.62,48.73,MODERATE
STU100296,37.85,34.31,65.98,41.25,71.47,33.0,45.98,MODERATE
STU100297,8.47,29.86,37.9,19.25,67.2,28.87,29.23,LOW
STU100298,5.95,23.75,37.54,37.0,39.45,15.83,25.71,LOW
STU100299,31.22,42.13,66.78,39.25,75.43,38.71,47.43,MODERATE
STU100300,50.7,59.06,74.72,65.25,100.0,60.46,65.68,HIGH
STU100301,24.84,45.9,42.84,44.0,100.0,48.17,46.43,MODERATE
STU100302,25.24,36.62,44.31,44.75,92.1,28.67,41.85,MODERATE
STU100303,27.08,46.86,49.02,45.75,69.92,43.14,45.1,MODERATE
STU100304,25.42,22.24,45.49,26.25,66.12,26.88,32.98,MODERATE
STU100305,39.36,40.3,45.51,49.0,82.98,38.79,46.58,MODERATE
STU100306,21.65,45.36,50.4,46.0,81.45,41.47,44.94,MODERATE
STU100307,36.1,38.14,56.36,37.0,47.18,41.12,42.41,MODERATE
STU100308,30.09,45.24,71.72,50.75,85.45,53.44,53.17,MODERATE
STU100309,23.58,48.08,78.06,48.25,53.48,100.0,54.93,MODERATE
STU100310,24.24,39.28,62.3,50.5,55.02,37.39,43.94,MODERATE
STU100311,17.85,24.68,47.35,25.0,42.12,10.81,28.25,LOW
STU100312,29.47,34.14,68.21,57.5,87.93,40.67,49.56,MODERATE
STU100313,19.7,32.18,20.18,45.0,66.15,33.03,32.69,MODERATE
STU100314,46.36,37.0,65.5,52.75,75.55,33.41,50.43,MODERATE
STU100315,9.86,17.89,42.74,23.0,25.18,16.23,22.58,LOW
STU100316,7.2,34.69,62.6,46.0,59.68,46.52,40.15,MODERATE
STU100317,11.72,11.21,60.28,35.75,49.4,15.46,29.05,LOW
STU100318,56.0,47.66,44.56,61.5,57.48,56.17,52.62,MODERATE
STU100319,29.09,37.38,47.18,43.0,67.65,32.93,41.11,MODERATE
STU100320,43.43,35.74,49.42,49.0,64.25,29.26,44.21,MODERATE
STU100321,41.79,42.24,40.48,50.75,72.1,22.95,44.13,MODERATE
STU100322,32.6,36.25,31.4,39.75,59.18,38.72,37.62,MODERATE
STU100323,0.0,10.09,48.16,12.5,37.82,18.71,19.68,LOW
STU100324,26.01,49.24,59.76,44.25,64.82,52.75,47.86,MODERATE
STU100325,20.79,30.69,56.55,32.5,72.28,36.84,38.93,MODERATE
STU100326,27.94,30.17,48.3,70.5,68.25,21.61,42.35,MODERATE
STU100327,44.03,52.48,74.06,65.5,87.9,58.34,61.19,HIGH
STU100328,30.86,41.3,62.48,42.5,57.58,64.94,47.62,MODERATE
STU100329,9.84,29.79,54.56,41.25,56.18,25.37,34.67,MODERATE
STU100330,22.18,28.28,62.7,34.0,61.72,25.32,37.85,MODERATE
STU100331,20.05,35.23,26.38,53.75,67.03,30.82,35.94,MODERATE
STU100332,47.92,43.8,47.47,62.25,73.45,44.72,51.18,MODERATE
STU100333,32.84,38.4,56.11,48.0,64.75,28.33,43.9,MODERATE
STU100334,24.0,22.77,38.03,29.75,95.18,16.96,33.78,MODERATE
STU100335,24.85,44.32,56.38,54.25,62.4,52.02,46.91,MODERATE
STU100336,38.73,45.98,62.96,37.75,65.72,44.03,48.47,MODERATE
STU100337,11.17,30.88,44.84,34.75,54.6,34.93,33.09,MODERATE
STU100338,26.74,36.85,69.68,35.25,65.4,43.84,44.71,MODERATE
STU100339,30.73,21.81,39.94,18.5,38.03,19.01,28.07,LOW
STU100340,31.11,48.12,47.14,66.25,77.97,34.93,48.91,MODERATE
STU100341,13.41,17.57,60.16,26.0,75.22,23.18,32.85,MODERATE
STU100342,28.18,25.18,64.38,26.0,54.55,28.87,37.05,MODERATE
STU100343,18.42,35.69,44.11,31.75,46.48,29.13,33.75,MODERATE
STU100344,15.08,23.14,73.7,27.0,44.22,25.06,34.52,MODERATE
STU100345,27.59,31.02,54.55,39.5,64.9,40.3,40.63,MODERATE
STU100346,21.65,32.6,47.11,59.0,77.95,34.83,42.03,MODERATE
STU100347,12.56,15.77,38.83,20.5,30.05,8.13,21.11,LOW
STU100348,9.42,12.6,34.1,27.25,39.3,6.6,20.53,LOW
STU100349,23.95,45.3,43.61,41.75,65.5,37.79,41.43,MODERATE
STU100350,20.77,21.5,46.4,48.75,58.85,17.55,33.76,MODERATE
STU100351,7.37,15.4,37.62,23.0,46.15,4.19,21.33,LOW
STU100352,25.85,36.02,54.6,35.75,57.63,43.39,40.56,MODERATE
STU100353,14.45,27.49,35.71,29.5,51.05,33.56,29.79,LOW
STU100354,18.52,28.64,65.2,33.25,34.83,34.02,35.78,MODERATE
STU100355,34.77,37.18,63.3,46.25,62.48,26.67,44.76,MODERATE
STU100356,3.29,26.57,45.0,22.0,43.22,26.97,26.62,LOW
STU100357,21.65,33.84,43.71,41.25,72.15,28.51,37.79,MODERATE
STU100358,41.09,48.63,46.61,52.5,91.07,36.17,50.3,MODERATE
STU100359,45.85,37.5,58.68,54.75,76.55,39.39,50.09,MODERATE
