student_id,age,gender,attendance_rate,study_hours_per_week,assignment_score,quiz_score,midterm_score,continuous_assessment,previous_gpa,final_exam_score,assessment_average,performance_trend,attendance_risk,study_efficiency,academic_performance_index,previous_performance_category,assessment_performance_category
STU100022,20,Female,79.34,12.65,82.92,60.67,63.27,67.12,2.39,66.29,68.5,-6.6,20.66,5.42,70.0,Medium,Medium
STU100023,30,Female,73.67,8.32,59.02,61.13,52.91,66.37,1.59,63.07,59.86,-0.44,26.33,7.19,59.98,Low,Medium
STU100024,28,Female,71.74,7.92,75.62,77.5,67.42,71.7,1.52,52.25,73.06,-7.0,28.26,9.22,65.65,Low,High
STU100025,26,Female,100.0,31.4,77.97,80.25,97.24,100.0,3.25,83.35,88.86,19.51,0.0,2.83,90.68,High,High
STU100026,23,Male,66.2,17.63,77.84,52.87,68.38,69.51,2.11,60.72,67.15,3.59,33.8,3.81,63.98,Medium,Medium
STU100027,28,Male,57.46,9.24,45.89,44.15,40.9,40.85,2.0,49.75,42.95,-4.14,42.54,4.65,48.71,Low,Low
STU100028,25,Female,97.14,17.5,75.48,78.02,79.31,69.25,2.67,68.68,75.52,-2.47,2.86,4.32,80.25,Medium,High
STU100029,23,Male,87.7,17.74,93.92,97.67,74.25,80.54,3.31,59.53,86.6,-18.4,12.3,4.88,86.16,High,High
STU100030,23,Male,74.16,21.74,81.74,72.04,68.24,75.16,2.74,70.05,74.29,-5.19,25.84,3.42,73.09,Medium,High
STU100031,20,Female,49.25,14.94,55.22,43.44,53.91,45.48,1.98,42.53,49.51,0.36,50.75,3.31,49.43,Low,Low
STU100032,19,Male,66.92,9.98,56.35,59.83,48.65,70.39,2.35,64.84,58.81,1.43,33.08,5.89,61.23,Medium,Medium
STU100033,25,Female,71.64,12.28,48.55,68.34,46.25,53.63,2.2,47.89,54.19,-8.51,28.36,4.41,59.59,Medium,Medium
STU100034,29,Female,100.0,26.63,71.56,90.41,86.18,89.46,3.15,76.12,84.4,6.83,0.0,3.17,87.95,High,High
STU100035,18,Male,68.84,12.23,63.62,73.99,57.68,69.04,1.87,50.02,66.08,-5.44,31.16,5.4,63.04,Low,Medium
STU100036,29,Female,57.79,3.63,47.08,32.37,41.45,47.78,1.84,43.12,42.17,4.89,42.21,11.62,47.62,Low,Low
STU100037,28,Male,84.38,12.76,62.33,60.85,81.15,86.97,2.25,70.1,72.82,22.47,15.62,5.71,72.97,Medium,High
STU100038,21,Female,80.11,14.53,71.58,70.23,62.54,68.4,2.7,64.46,68.19,-5.44,19.89,4.69,71.63,Medium,Medium
STU100039,26,Female,63.85,17.46,67.08,76.26,67.05,57.8,2.3,82.37,67.05,-9.25,36.15,3.84,64.18,Medium,Medium
STU100040,20,Male,66.37,13.08,61.5,50.7,65.15,65.43,1.51,49.85,60.7,9.19,33.63,4.64,57.81,Low,Medium
STU100041,27,Male,58.72,11.41,53.87,60.04,53.86,68.0,2.06,60.21,58.94,3.98,41.28,5.17,57.39,Medium,Medium
STU100042,27,Male,76.06,26.32,77.82,83.78,86.3,80.27,3.11,89.14,82.04,2.48,23.94,3.12,79.39,High,High
STU100043,22,Male,86.42,14.66,71.72,62.4,62.5,75.24,2.69,74.83,67.96,1.81,13.58,4.64,73.36,Medium,Medium
STU100044,18,Male,84.86,12.01,84.18,67.94,81.19,84.5,2.79,69.05,79.45,6.78,15.14,6.62,79.13,Medium,High
STU100045,30,Female,78.35,15.68,68.46,72.55,77.5,71.68,2.39,71.2,72.55,4.09,21.65,4.63,71.73,Medium,High
STU100046,23,Male,77.66,16.58,60.19,69.97,86.5,72.1,2.87,63.9,72.19,14.22,22.34,4.35,73.74,Medium,High
STU100047,29,Female,77.39,15.57,64.43,73.06,74.1,73.42,2.03,72.64,71.25,5.01,22.61,4.58,68.99,Medium,High
STU100048,26,Male,78.35,16.32,66.11,63.62,68.27,67.72,2.02,66.47,66.43,3.13,21.65,4.07,66.82,Medium,Medium
STU100049,28,Female,100.0,27.04,69.59,92.16,100.0,76.19,3.32,89.43,84.48,7.22,0.0,3.12,88.84,High,High
STU100050,27,Male,100.0,13.41,82.8,82.19,94.06,85.38,3.54,95.82,86.11,7.22,0.0,6.42,90.76,High,High
STU100051,20,Male,66.41,3.68,51.48,56.46,65.73,49.8,2.1,56.65,55.87,3.8,33.59,15.18,58.36,Medium,Medium
STU100052,22,Female,64.46,13.29,69.02,75.51,60.69,68.13,2.32,60.39,68.34,-7.86,35.54,5.14,65.11,Medium,Medium
STU100053,24,Male,87.22,22.43,84.41,78.4,74.62,88.36,2.24,72.61,81.45,0.09,12.78,3.63,78.09,Medium,High
STU100054,24,Female,89.2,36.76,86.49,86.94,91.81,79.37,3.96,97.13,86.15,-1.12,10.8,2.34,89.64,High,High
STU100055,18,Male,92.83,20.81,94.7,89.19,79.64,88.72,2.71,73.63,88.06,-7.76,7.17,4.23,85.43,Medium,High
STU100056,25,Female,84.09,6.68,61.22,70.12,58.77,68.36,2.31,63.2,64.62,-2.11,15.91,9.67,69.09,Medium,Medium
STU100057,20,Female,85.12,20.53,82.55,87.52,83.09,83.41,3.88,87.17,84.14,-1.78,14.88,4.1,87.01,High,High
STU100058,27,Female,59.96,11.62,69.52,48.92,79.36,71.13,2.58,74.87,67.23,16.03,40.04,5.79,64.5,Medium,Medium
STU100059,26,Male,97.04,16.83,72.23,74.54,92.47,82.24,3.12,85.24,80.37,13.97,2.96,4.78,84.9,High,High
STU100060,29,Male,82.07,19.96,67.63,71.67,78.8,82.55,3.03,68.67,75.16,11.02,17.93,3.77,77.35,High,High
STU100061,27,Male,68.98,12.33,42.74,61.77,48.95,70.69,1.94,53.88,56.04,7.56,31.02,4.55,58.41,Low,Medium
STU100062,22,Male,75.24,18.9,87.59,56.92,92.54,81.2,3.6,70.29,79.56,14.62,24.76,4.21,80.35,High,High
STU100063,30,Male,86.66,16.74,84.1,84.0,65.0,81.07,2.71,64.22,78.54,-11.02,13.34,4.69,78.82,Medium,High
STU100064,23,Female,87.33,13.9,67.01,76.24,52.34,67.04,2.15,58.92,65.66,-11.93,12.67,4.72,69.78,Medium,Medium
STU100065,22,Female,64.47,8.33,78.83,73.37,69.57,66.91,2.26,70.59,72.17,-7.86,35.53,8.66,66.73,Medium,High
STU100066,29,Female,57.79,10.49,81.74,51.54,48.12,58.07,2.32,43.53,59.87,-13.55,42.21,5.71,58.87,Medium,Medium
STU100067,22,Male,88.53,26.46,65.66,61.68,73.45,71.24,2.64,85.07,68.01,8.67,11.47,2.57,73.76,Medium,Medium
STU100068,18,Male,74.75,8.28,73.58,69.57,52.06,84.81,2.75,47.32,70.0,-3.14,25.25,8.45,71.18,Medium,Medium
STU100069,24,Female,68.87,10.61,68.6,74.41,47.96,82.33,2.41,56.26,68.32,-6.36,31.13,6.44,66.87,Medium,Medium
STU100070,28,Male,74.22,9.15,53.93,60.31,78.72,67.71,2.52,71.14,65.17,16.1,25.78,7.12,67.45,Medium,Medium
STU100071,20,Male,84.13,16.24,59.9,93.61,83.03,57.27,2.93,76.72,73.45,-6.6,15.87,4.52,76.61,Medium,High
STU100072,24,Male,86.03,11.22,75.03,72.0,69.24,72.47,2.72,71.96,72.18,-2.66,13.97,6.43,75.5,Medium,High
STU100073,19,Female,99.43,8.31,71.7,68.76,60.03,72.18,2.61,64.48,68.17,-4.12,0.57,8.2,76.96,Medium,Medium
STU100074,26,Female,60.71,10.54,47.97,52.72,43.38,59.25,1.47,66.47,50.83,0.97,39.29,4.82,50.98,Low,Medium
STU100075,24,Male,93.31,22.34,71.04,88.9,80.48,84.54,3.23,73.28,81.24,2.54,6.69,3.64,84.76,High,High
STU100076,22,Male,81.72,12.75,75.1,64.41,61.43,79.75,2.39,62.3,70.17,0.84,18.28,5.5,71.55,Medium,High
STU100077,20,Male,62.95,8.99,48.1,53.48,49.08,53.29,2.83,53.59,50.99,0.4,37.05,5.67,58.53,Medium,Medium
STU100078,25,Female,35.78,15.04,37.45,62.11,36.7,49.42,1.08,32.9,46.42,-6.72,64.22,3.09,39.34,Low,Low
STU100079,26,Female,89.98,20.26,73.93,96.47,65.83,71.13,3.18,63.2,76.84,-16.72,10.02,3.79,81.31,High,High
STU100080,30,Male,93.35,9.16,74.63,72.46,86.6,80.34,2.25,79.9,78.51,9.93,6.65,8.57,78.51,Medium,High
STU100081,23,Female,68.81,15.04,63.91,64.24,68.88,79.92,2.65,68.15,69.24,10.33,31.19,4.6,68.51,Medium,Medium
STU100082,20,Male,80.49,15.33,72.12,63.61,73.38,88.0,2.83,85.13,74.28,12.82,19.51,4.85,75.44,Medium,High
STU100083,28,Male,83.68,17.5,89.23,100.0,62.68,69.56,3.17,66.72,80.37,-28.5,16.32,4.59,81.14,High,High
STU100084,24,Female,83.31,7.38,75.39,82.32,78.1,80.1,2.84,82.03,78.98,0.25,16.69,10.7,78.68,Medium,High
STU100085,27,Male,93.97,10.99,69.73,79.8,54.66,70.29,2.87,66.55,68.62,-12.29,6.03,6.24,76.85,Medium,Medium
STU100086,19,Female,66.52,9.83,71.52,59.75,67.58,64.89,2.76,56.97,65.93,0.6,33.48,6.71,66.72,Medium,Medium
STU100087,22,Male,83.78,17.22,66.79,68.65,64.35,77.9,2.69,65.93,69.42,3.41,16.22,4.03,73.29,Medium,Medium
STU100088,27,Female,94.81,26.45,89.64,76.55,86.31,87.56,2.87,80.99,85.02,3.84,5.19,3.21,85.3,Medium,High
STU100089,28,Male,74.36,22.94,74.9,37.36,54.03,70.96,2.16,67.22,59.31,6.36,25.64,2.59,62.76,Medium,Medium
STU100090,23,Male,95.34,26.0,77.95,77.9,84.42,70.34,3.34,81.34,77.65,-0.55,4.66,2.99,84.13,High,High
STU100091,28,Female,78.76,12.32,81.07,77.27,71.67,75.97,2.74,70.62,76.5,-5.35,21.24,6.21,75.58,Medium,High
STU100092,28,Male,100.0,20.62,78.3,77.04,74.55,73.4,2.78,74.72,75.82,-3.7,0.0,3.68,81.81,Medium,High
STU100093,23,Male,100.0,36.43,99.04,90.93,100.0,98.81,3.52,100.0,97.2,4.42,0.0,2.67,96.2,High,High
STU100094,29,Female,94.18,19.31,100.0,70.31,93.27,87.33,3.83,83.75,87.73,5.14,5.82,4.54,91.27,High,High
STU100095,21,Female,100.0,19.75,0.0,82.08,100.0,100.0,2.82,91.04,70.52,58.96,0.0,3.57,79.36,Medium,High
STU100096,21,Female,70.48,3.11,55.42,68.61,43.83,60.96,1.89,56.34,57.21,-9.62,29.52,18.4,59.2,Low,Medium
STU100097,26,Female,100.0,25.33,95.54,100.0,100.0,79.65,3.22,94.23,93.8,-7.95,0.0,3.7,93.0,High,High
STU100098,26,Female,75.56,16.37,71.29,77.28,76.41,69.3,2.39,67.52,73.57,-1.43,24.44,4.49,71.4,Medium,High
STU100099,19,Female,73.27,21.05,59.79,68.28,60.89,64.77,2.82,66.16,63.43,-1.2,26.73,3.01,67.8,Medium,Medium
STU100100,28,Female,42.33,6.5,31.6,70.31,51.39,50.69,1.32,32.98,51.0,0.09,57.67,7.85,44.8,Low,Medium
STU100101,20,Male,68.53,18.89,74.62,61.61,89.53,70.17,2.7,70.07,73.98,11.73,31.47,3.92,71.05,Medium,High
STU100102,28,Male,67.97,8.73,69.42,36.17,65.9,65.65,2.19,57.86,59.28,12.98,32.03,6.79,60.98,Medium,Medium
STU100103,18,Female,81.36,19.41,84.77,82.18,63.14,75.08,2.59,55.9,76.29,-14.36,18.64,3.93,75.5,Medium,High
STU100104,28,Female,71.08,10.28,62.76,40.2,54.31,62.41,2.05,59.9,54.92,6.88,28.92,5.34,59.03,Medium,Medium
STU100105,28,Male,92.45,32.3,100.0,88.89,97.59,100.0,3.49,86.3,96.62,4.35,7.55,2.99,93.5,High,High
STU100106,28,Male,75.84,18.21,79.11,78.27,74.33,77.15,2.38,80.19,77.22,-2.95,24.16,4.24,73.26,Medium,High
STU100107,26,Male,78.35,29.99,93.55,84.91,100.0,82.32,3.48,95.24,90.2,1.93,21.65,3.01,86.01,High,High
STU100108,24,Female,63.36,6.82,63.29,57.2,60.5,56.13,2.11,51.82,59.28,-1.93,36.64,8.69,59.2,Medium,Medium
STU100109,27,Female,100.0,24.86,81.33,90.67,77.16,74.53,2.52,76.62,80.92,-10.16,0.0,3.26,83.06,Medium,High
STU100110,21,Male,56.64,2.9,42.1,46.97,58.49,47.2,2.05,50.07,48.69,8.31,43.36,16.79,51.59,Medium,Low
STU100111,28,Female,95.52,10.3,65.41,77.03,71.55,41.59,3.34,73.53,63.9,-14.65,4.48,6.2,77.31,High,Medium
STU100112,25,Female,76.47,15.58,61.36,58.6,59.96,72.22,2.35,62.22,63.04,6.11,23.53,4.05,66.21,Medium,Medium
STU100113,23,Female,75.9,19.75,75.37,62.35,53.68,53.21,2.13,60.58,61.15,-15.42,24.1,3.1,64.0,Medium,Medium
STU100114,24,Male,78.2,11.71,53.76,55.38,59.33,72.27,2.22,60.77,60.18,11.23,21.8,5.14,64.65,Medium,Medium
STU100115,25,Female,64.84,11.17,53.86,58.35,66.16,55.85,2.0,62.47,58.56,4.9,35.16,5.24,58.73,Low,Medium
STU100116,18,Female,49.74,11.75,66.24,55.8,54.87,55.56,1.73,61.9,58.12,-5.8,50.26,4.95,52.63,Low,Medium
STU100117,19,Female,75.58,11.63,64.28,55.81,69.68,81.13,2.41,69.03,67.72,15.36,24.42,5.82,68.58,Medium,Medium
STU100118,21,Male,94.93,16.64,71.61,75.8,69.29,69.58,2.71,63.44,71.57,-4.27,5.07,4.3,77.81,Medium,High
STU100119,19,Female,73.64,20.9,80.31,58.19,82.89,71.13,2.67,72.69,73.13,7.76,26.36,3.5,72.01,Medium,High
STU100120,23,Female,85.3,14.02,92.42,84.14,55.2,69.52,3.03,70.27,75.32,-25.92,14.7,5.37,78.4,High,High
STU100121,26,Male,79.72,24.61,88.89,68.84,86.09,71.65,2.44,72.78,78.87,0.0,20.28,3.2,75.55,Medium,High
STU100122,26,Male,60.08,8.69,72.23,63.82,47.98,63.54,1.68,35.76,61.89,-12.27,39.92,7.12,57.37,Low,Medium
STU100123,24,Female,73.44,17.01,69.42,71.42,65.95,71.6,2.69,60.72,69.6,-1.64,26.56,4.09,70.28,Medium,Medium
STU100124,29,Female,92.51,19.25,83.05,88.2,55.28,75.66,3.07,58.53,75.55,-20.16,7.49,3.92,80.88,High,High
STU100125,25,Male,83.8,11.06,92.07,62.52,97.46,81.35,2.55,84.51,83.35,12.11,16.2,7.54,79.56,Medium,High
STU100126,19,Male,78.35,15.37,60.04,58.51,58.42,67.78,2.76,70.86,61.19,3.83,21.65,3.98,67.9,Medium,Medium
STU100127,27,Male,98.54,16.93,83.15,83.5,84.12,78.14,2.81,74.24,82.23,-2.2,1.46,4.86,84.73,Medium,High
STU100128,25,Female,70.05,8.05,66.73,68.22,65.28,67.66,1.53,69.4,66.97,-1.0,29.95,8.32,62.15,Low,Medium
STU100129,26,Female,77.43,7.68,72.23,69.72,55.38,60.95,2.27,60.06,64.57,-12.81,22.57,8.41,66.86,Medium,Medium
STU100130,25,Male,81.34,9.2,92.16,81.82,68.38,69.87,2.12,77.22,78.06,-17.86,18.66,8.48,74.03,Medium,High
STU100131,24,Male,74.2,13.95,66.7,74.76,79.88,48.01,2.21,72.35,67.34,-6.79,25.8,4.83,66.98,Medium,Medium
STU100132,19,Male,62.09,14.96,70.65,68.96,63.31,62.97,2.46,59.08,66.47,-6.67,37.91,4.44,64.16,Medium,Medium
STU100133,25,Male,81.81,9.49,67.97,70.67,69.86,65.24,2.06,66.47,68.44,-1.77,18.19,7.21,69.06,Medium,Medium
STU100134,28,Female,62.76,15.27,48.58,58.24,62.67,47.48,2.17,64.78,54.24,1.67,37.24,3.55,56.8,Medium,Medium
STU100135,21,Female,53.88,19.01,76.54,76.87,70.08,74.28,1.9,65.63,74.44,-4.53,46.12,3.92,62.88,Low,High
STU100136,25,Male,95.54,26.05,97.47,81.73,100.0,80.26,3.35,99.58,89.86,0.53,4.46,3.45,90.34,High,High
STU100137,18,Male,77.46,6.79,81.68,55.63,74.32,76.95,2.03,86.2,72.14,6.98,22.54,10.62,69.46,Medium,High
STU100138,22,Male,87.11,27.92,76.23,93.33,79.06,83.24,3.44,88.72,82.96,-3.63,12.89,2.97,84.81,High,High
STU100139,23,Female,82.32,16.91,65.04,80.44,73.85,75.1,2.59,58.35,73.61,1.73,17.68,4.35,74.45,Medium,High
STU100140,30,Female,67.96,19.72,71.6,61.73,64.69,59.49,2.73,52.69,64.38,-4.57,32.04,3.26,66.23,Medium,Medium
STU100141,20,Female,80.03,2.08,45.6,52.81,34.5,47.72,1.38,40.6,45.16,-8.09,19.97,21.71,53.49,Low,Low
STU100142,21,Male,80.18,8.74,53.84,74.8,70.8,46.19,2.71,56.63,61.41,-5.82,19.82,7.03,68.31,Medium,Medium
STU100143,23,Female,75.54,11.42,67.08,63.53,57.42,77.17,1.83,54.96,66.3,1.99,24.46,5.81,64.96,Low,Medium
STU100144,30,Male,70.95,5.85,70.9,76.72,57.86,66.0,1.5,55.29,67.87,-11.88,29.05,11.6,62.72,Low,Medium
STU100145,29,Female,98.8,12.78,79.01,85.73,66.96,72.08,3.01,66.24,75.94,-12.85,1.2,5.94,82.66,High,High
STU100146,18,Female,91.6,8.84,79.91,77.12,80.81,85.64,3.42,86.33,80.87,4.71,8.4,9.15,85.01,High,High
STU100147,21,Male,100.0,40.0,93.8,81.92,81.68,83.15,3.88,94.43,85.14,-5.44,0.0,2.13,91.97,High,High
STU100148,28,Female,73.3,2.07,55.84,62.24,41.74,68.28,2.53,42.12,57.03,-4.03,26.7,27.55,63.15,Medium,Medium
STU100149,18,Male,98.2,16.31,84.83,100.0,80.14,71.13,3.58,84.53,84.02,-16.78,1.8,5.15,89.37,High,High
STU100150,29,Female,100.0,27.41,73.84,70.31,68.38,81.32,3.01,79.08,73.46,2.77,0.0,2.68,81.78,High,High
STU100151,21,Male,71.85,6.49,76.08,70.89,56.42,53.97,2.65,59.8,64.34,-18.29,28.15,9.91,66.97,Medium,Medium
STU100152,29,Male,84.15,9.79,100.0,90.55,76.53,70.99,2.77,68.36,84.52,-21.52,15.85,8.63,81.35,Medium,High
STU100153,21,Male,85.05,8.07,84.92,65.89,95.12,71.13,2.87,88.3,79.26,7.72,14.95,9.82,79.5,Medium,High
STU100154,23,Male,70.38,16.11,82.05,73.25,69.4,55.99,2.53,63.91,70.17,-14.95,29.62,4.36,68.85,Medium,High
STU100155,26,Male,56.13,8.83,67.91,73.66,43.82,62.76,2.41,56.53,62.04,-17.49,43.87,7.03,59.91,Medium,Medium
STU100156,19,Male,74.12,14.45,53.55,66.6,60.23,76.16,2.68,66.48,64.13,8.12,25.88,4.44,67.7,Medium,Medium
STU100157,25,Female,55.53,0.46,68.14,26.48,44.96,45.97,1.14,31.23,46.39,-1.84,44.47,46.39,45.55,Low,Low
STU100158,24,Male,87.53,15.85,65.23,63.32,65.28,95.39,2.34,75.04,72.31,16.06,12.47,4.56,74.11,Medium,High
STU100159,28,Male,60.66,8.47,73.1,41.01,62.31,67.26,1.9,66.47,60.92,7.73,39.34,7.19,58.16,Low,Medium
STU100160,30,Female,68.62,7.17,62.94,44.75,57.5,58.02,2.63,43.25,55.8,3.92,31.38,7.78,61.64,Medium,Medium
STU100161,26,Female,83.06,13.06,86.94,83.11,62.1,66.91,2.49,57.69,74.76,-20.52,16.94,5.72,74.75,Medium,High
STU100162,23,Male,66.48,2.29,56.53,50.38,62.27,45.59,2.23,58.09,53.69,0.48,33.52,23.45,57.94,Medium,Medium
STU100163,23,Male,82.46,14.36,69.63,87.1,74.82,80.22,2.54,79.0,77.94,-0.84,17.54,5.43,76.41,Medium,High
STU100164,23,Female,81.11,25.47,71.07,83.18,70.73,71.47,2.92,76.97,74.11,-6.03,18.89,2.91,75.99,Medium,High
STU100165,28,Female,60.77,10.62,88.88,54.07,67.43,63.57,2.39,66.47,68.49,-5.97,39.23,6.45,64.43,Medium,Medium
STU100166,22,Male,71.5,3.3,73.97,70.72,50.91,71.53,2.9,52.25,66.78,-11.12,28.5,20.24,69.34,Medium,Medium
STU100167,20,Female,63.74,9.15,79.42,40.77,66.1,52.45,2.29,52.39,59.68,-0.82,36.26,6.52,60.41,Medium,Medium
STU100168,22,Male,88.4,15.48,76.33,81.14,67.32,86.17,2.9,77.59,77.74,-1.99,11.6,5.02,79.89,Medium,High
STU100169,18,Male,66.76,15.9,80.17,76.17,88.22,75.03,2.41,80.21,79.9,3.45,33.24,5.03,72.03,Medium,High
STU100170,19,Female,77.05,15.22,63.06,70.6,82.4,68.09,3.2,69.96,71.04,8.42,22.95,4.67,74.64,High,High
STU100171,19,Female,85.31,25.46,77.55,58.97,64.18,71.13,2.53,79.86,67.96,-0.6,14.69,2.67,72.22,Medium,Medium
STU100172,28,Female,81.56,9.23,85.53,48.0,63.57,43.74,1.39,61.87,60.21,-13.11,18.44,6.52,61.52,Low,Medium
STU100173,27,Male,53.01,9.97,49.36,78.32,68.38,58.74,1.09,44.73,63.7,-0.28,46.99,6.39,53.2,Low,Medium
STU100174,27,Male,93.41,24.3,75.71,87.09,68.9,84.1,2.41,71.43,78.95,-4.9,6.59,3.25,79.55,Medium,High
STU100175,24,Male,81.77,12.3,86.34,74.79,51.29,59.24,3.05,67.41,67.91,-25.3,18.23,5.52,73.74,High,Medium
STU100176,27,Male,68.01,12.73,67.52,73.55,67.76,48.64,3.01,58.03,64.37,-12.33,31.99,5.06,67.64,High,Medium
STU100177,20,Male,75.89,13.66,93.11,89.17,68.3,72.11,1.99,46.72,80.67,-20.94,24.11,5.91,73.05,Low,High
STU100178,29,Female,84.74,16.5,82.52,96.05,91.06,77.86,2.86,66.47,86.87,-4.82,15.26,5.26,83.16,Medium,High
STU100179,24,Female,87.87,15.81,84.14,80.73,84.06,81.92,3.1,87.32,82.71,0.56,12.13,5.23,83.22,High,High
STU100180,30,Female,79.61,15.72,69.24,60.48,49.08,65.78,2.76,62.01,61.14,-7.43,20.39,3.89,68.25,Medium,Medium
STU100181,19,Male,54.1,19.28,47.2,61.36,58.32,69.58,1.48,64.56,59.11,9.67,45.9,3.07,53.18,Low,Medium
STU100182,24,Male,54.91,3.07,46.65,52.67,56.9,54.03,2.05,59.85,52.56,5.81,45.09,17.12,53.0,Medium,Medium
STU100183,27,Female,75.93,14.21,56.34,78.52,59.42,71.13,2.26,70.69,66.35,-2.16,24.07,4.67,67.25,Medium,Medium
STU100184,24,Male,95.59,25.33,57.24,87.6,95.69,81.69,4.0,66.47,80.56,16.27,4.41,3.18,88.96,High,High
STU100185,23,Female,68.71,7.98,63.72,69.69,56.32,66.9,2.19,59.82,64.16,-5.09,31.29,8.04,63.64,Medium,Medium
STU100186,20,Male,72.88,18.46,54.32,73.83,52.98,71.13,2.33,57.36,63.06,-2.02,27.12,3.42,65.04,Medium,Medium
STU100187,22,Female,62.52,22.28,60.91,50.15,58.62,52.82,2.22,64.4,55.62,0.19,37.48,2.5,57.67,Medium,Medium
STU100188,21,Female,64.43,8.82,75.59,65.34,57.65,59.79,2.52,50.19,64.59,-11.75,35.57,7.32,64.22,Medium,Medium
STU100189,21,Female,85.76,23.6,63.62,81.6,53.27,74.46,2.83,59.94,68.24,-8.75,14.24,2.89,74.0,Medium,Medium
STU100190,26,Female,61.47,4.59,65.03,47.47,25.89,47.29,1.45,21.68,46.42,-19.66,38.53,10.11,48.9,Low,Low
STU100191,26,Female,95.78,16.65,68.87,76.7,97.73,82.71,2.34,86.73,81.5,17.44,4.22,4.89,81.18,Medium,High
STU100192,25,Male,86.05,13.43,64.46,80.5,77.66,72.42,2.38,83.29,73.76,2.56,13.95,5.49,74.6,Medium,High
STU100193,22,Female,100.0,34.22,100.0,100.0,100.0,99.32,4.0,93.51,99.83,-0.34,0.0,2.92,99.92,High,High
STU100194,30,Female,52.96,7.44,55.97,21.44,62.5,71.13,1.71,41.97,52.76,28.11,47.04,7.09,50.82,Low,Medium
STU100195,19,Female,96.15,28.23,99.94,99.92,83.39,100.0,3.36,84.93,95.81,-8.24,3.85,3.39,93.55,High,High
STU100196,22,Male,100.0,24.48,100.0,62.49,83.37,73.78,2.77,81.79,79.91,-2.67,0.0,3.26,83.8,Medium,High
STU100197,24,Male,77.24,19.29,64.18,64.9,56.96,63.42,2.67,60.33,62.37,-4.35,22.76,3.23,67.71,Medium,Medium
STU100198,22,Female,74.73,15.28,62.02,51.76,68.63,66.4,2.53,56.34,62.2,10.62,25.27,4.07,66.17,Medium,Medium
